incident_id,year,incident_type
3573,2024,Disruption
3573,2024,Hijacking with Misuse
3573,2024,Ransomware
3572,2024,Hijacking with Misuse
3571,2024,Data theft
3571,2024,Hijacking with Misuse
3570,2024,Disruption
3570,2024,Hijacking with Misuse
3570,2024,Ransomware
3568,2024,Data theft
3568,2024,Disruption
3568,2024,Hijacking with Misuse
3568,2024,Ransomware
3567,2024,Disruption
3567,2024,Hijacking with Misuse
3566,2024,Data theft
3566,2024,Disruption
3566,2024,Hijacking with Misuse
3566,2024,Ransomware
3565,2024,Data theft
3565,2024,Disruption
3565,2024,Hijacking with Misuse
3565,2024,Ransomware
3564,2024,Data theft & Doxing
3564,2024,Hijacking with Misuse
3563,2024,Disruption
3562,2021,Data theft
3562,2021,Hijacking with Misuse
3559,2023,Data theft
3559,2023,Hijacking with Misuse
3558,2024,Data theft
3558,2024,Hijacking with Misuse
3558,2024,Ransomware
3557,2024,Disruption
3557,2024,Hijacking with Misuse
3557,2024,Ransomware
3557,2024,Disruption
3557,2024,Hijacking with Misuse
3557,2024,Ransomware
3556,2024,Hijacking without Misuse
3555,2024,Hijacking with Misuse
3554,2024,Disruption
3553,2024,Disruption
3553,2024,Hijacking with Misuse
3550,2024,Disruption
3549,2023,Disruption
3549,2023,Hijacking with Misuse
3548,2024,Hijacking with Misuse
3547,2024,Data theft
3547,2024,Hijacking with Misuse
3546,2024,Hijacking with Misuse
3545,2024,Data theft
3545,2024,Disruption
3545,2024,Hijacking with Misuse
3545,2024,Ransomware
3544,2024,Disruption
3544,2024,Hijacking with Misuse
3544,2024,Ransomware
3542,2024,Disruption
3542,2024,Hijacking with Misuse
3542,2024,Ransomware
3539,2024,Disruption
3539,2024,Hijacking with Misuse
3538,2024,Hijacking without Misuse
3537,2024,Disruption
3537,2024,Hijacking with Misuse
3537,2024,Ransomware
3536,2024,Data theft & Doxing
3536,2024,Hijacking with Misuse
3535,2024,Data theft
3535,2024,Disruption
3535,2024,Hijacking with Misuse
3535,2024,Ransomware
3533,2024,Hijacking without Misuse
3532,2024,Disruption
3532,2024,Hijacking with Misuse
3532,2024,Ransomware
3531,2024,Disruption
3529,2024,Hijacking with Misuse
3528,2024,Data theft & Doxing
3528,2024,Hijacking with Misuse
3528,2024,Ransomware
3527,2021,Data theft
3527,2021,Hijacking with Misuse
3526,2022,Data theft
3526,2022,Hijacking with Misuse
3525,2024,Hijacking without Misuse
3524,2024,Hijacking with Misuse
3521,2024,Data theft & Doxing
3521,2024,Disruption
3521,2024,Hijacking with Misuse
3521,2024,Ransomware
3520,2024,Hijacking with Misuse
3519,2024,Disruption
3518,2024,Data theft & Doxing
3518,2024,Hijacking with Misuse
3517,2024,Disruption
3517,2024,Hijacking with Misuse
3517,2024,Ransomware
3516,2023,Disruption
3516,2023,Hijacking with Misuse
3515,2024,Disruption
3515,2024,Hijacking with Misuse
3514,2024,Data theft
3514,2024,Hijacking with Misuse
3512,2024,Hijacking with Misuse
3511,2024,Data theft
3511,2024,Hijacking with Misuse
3510,2024,Disruption
3510,2024,Hijacking with Misuse
3510,2024,Ransomware
3509,2024,Hijacking without Misuse
3508,2024,Disruption
3508,2024,Hijacking with Misuse
3508,2024,Ransomware
3507,2024,Hijacking without Misuse
3506,2023,Data theft
3506,2023,Hijacking with Misuse
3506,2023,Ransomware
3505,2024,Disruption
3505,2024,Hijacking with Misuse
3505,2024,Ransomware
3504,2024,Hijacking without Misuse
3502,2024,Disruption
3502,2024,Hijacking with Misuse
3502,2024,Ransomware
3501,2024,Disruption
3501,2024,Hijacking with Misuse
3501,2024,Ransomware
3500,2024,Disruption
3499,2023,Data theft
3499,2023,Hijacking with Misuse
3498,2024,Data theft
